customer_id,age,gender,region,plan_type,tenure_months,days_since_last_purchase,purchase_frequency,avg_order_value,total_spend,login_frequency_monthly,email_open_rate,pages_per_session,support_tickets,avg_resolution_days,complaints,churn,rfm_score,engagement_score,support_risk,gender_enc,region_enc,plan_type_enc,churn_probability,risk_tier
CUST0014,53,Female,West,Standard,19,71,7.6,161.53,1943.74,15.3,0.35,1.7,0,4.0,0,0,0.43094166666666667,0.38266666666666665,0.2857142857142857,0,3,2,0.0898,Low risk
CUST0015,57,Female,East,Basic,12,67,0.5,99.83,49.92,11.7,0.48,1.0,1,0.5,1,1,0.26860833333333334,0.3523333333333333,2.0357142857142856,0,0,0,0.9277,High risk
CUST0016,41,Female,North,Basic,37,109,19.2,58.16,3443.07,6.3,0.42,3.8,2,0.5,0,0,0.4211333333333333,0.2816666666666666,0.03571428571428571,0,1,0,0.0556,Low risk
CUST0017,20,Female,North,Basic,42,47,3.1,99.88,1083.7,8.5,0.02,1.5,2,0.5,0,1,0.3808166666666667,0.16766666666666669,0.03571428571428571,0,1,0,0.8525,High risk
CUST0018,39,Male,North,Basic,17,84,16.8,102.02,2428.08,5.5,0.37,1.5,0,0.9,1,0,0.49901666666666666,0.22266666666666668,2.0642857142857145,1,1,0,0.0927,Low risk
CUST0019,19,Male,South,Basic,37,83,11.2,86.2,2976.77,0.7,0.23,6.1,4,1.7,0,1,0.39116666666666666,0.16199999999999998,0.12142857142857143,1,2,0,0.4567,Medium risk
CUST0020,41,Male,West,Premium,54,35,2.4,93.91,1014.23,7.3,0.21,1.0,0,0.5,0,1,0.4035916666666666,0.19799999999999998,0.03571428571428571,1,3,1,0.371,Low risk
CUST0021,61,Female,East,Standard,48,68,0.9,97.85,352.26,1.2,0.43,4.2,0,3.2,1,1,0.270625,0.20500000000000002,2.2285714285714286,0,0,2,0.9477,High risk
CUST0022,47,Male,West,Basic,39,69,0.7,45.19,102.81,2.0,0.21,3.8,1,2.8,1,1,0.21990833333333337,0.147,2.2,1,3,0,0.9701,High risk
CUST0023,55,Female,West,Basic,28,1,1.1,43.05,110.5,8.6,0.36,4.2,0,2.4,0,0,0.4517916666666667,0.30733333333333335,0.17142857142857143,0,3,0,0.0494,Low risk
CUST0024,19,Female,West,Standard,41,68,5.0,51.17,874.15,3.8,0.18,6.8,1,1.3,0,1,0.30347500000000005,0.208,0.09285714285714286,0,3,2,0.7829,High risk
CUST0025,38,Male,North,Standard,35,12,1.3,78.83,298.9,9.8,0.24,2.3,2,0.9,2,1,0.4484416666666667,0.266,4.064285714285714,1,1,2,0.8108,High risk
CUST0026,50,Male,East,Standard,47,60,1.7,68.3,454.76,1.2,0.27,6.8,2,0.9,0,1,0.2866666666666667,0.19166666666666668,0.0642857142857143,1,0,2,0.8926,High risk
CUST0027,29,Male,East,Premium,48,27,2.4,45.73,439.01,4.7,0.07,1.0,1,1.4,0,0,0.3901083333333334,0.11266666666666668,0.09999999999999999,1,0,1,0.1335,Low risk
CUST0028,39,Female,West,Standard,18,56,9.8,98.26,1444.42,0.4,0.26,5.3,0,0.5,1,1,0.46671666666666667,0.15533333333333332,2.0357142857142856,0,3,2,0.1384,Low risk
CUST0029,61,Male,North,Premium,14,106,0.8,83.49,77.92,5.2,0.34,7.0,1,2.3,3,1,0.13024166666666667,0.28200000000000003,6.164285714285715,1,1,1,0.9833,High risk
CUST0030,42,Female,North,Premium,35,23,0.5,80.07,116.77,7.2,0.38,1.0,1,0.9,0,0,0.3988083333333333,0.24733333333333332,0.0642857142857143,0,1,1,0.0307,Low risk
CUST0031,66,Male,East,Basic,44,25,0.5,67.26,123.31,4.4,0.19,3.9,3,0.5,1,1,0.3814666666666666,0.18233333333333335,2.0357142857142856,1,0,0,0.8018,High risk
CUST0032,44,Female,North,Premium,41,21,9.4,63.65,2044.23,1.5,0.34,3.8,1,0.7,0,0,0.5475416666666667,0.17766666666666667,0.049999999999999996,0,1,1,0.002,Low risk
CUST0033,59,Female,North,Basic,7,61,4.2,49.76,121.91,0.2,0.14,4.1,0,0.5,0,1,0.3116333333333333,0.1,0.03571428571428571,0,1,0,0.9651,High risk
CUST0034,45,Male,North,Premium,41,63,1.3,103.01,457.54,0.6,0.1,7.4,2,4.6,0,1,0.2985916666666667,0.1386666666666667,0.32857142857142857,1,1,1,0.966,High risk
CUST0035,33,Female,South,Basic,13,52,0.8,53.9,46.71,4.9,0.24,2.5,2,0.5,0,0,0.28558333333333336,0.187,0.03571428571428571,0,2,0,0.207,Low risk
CUST0036,32,Female,West,Premium,18,88,1.4,81.28,170.69,13.6,0.26,1.6,3,4.3,0,1,0.19890000000000002,0.32599999999999996,0.3071428571428571,0,3,1,0.9888,High risk
CUST0037,64,Male,East,Premium,37,25,0.5,124.86,192.49,1.2,0.33,4.2,1,1.7,0,0,0.42946666666666666,0.17500000000000002,0.12142857142857143,1,0,1,0.0941,Low risk
CUST0038,68,Female,East,Premium,13,109,11.4,65.03,803.12,6.6,0.15,6.2,1,4.0,0,0,0.2903583333333334,0.23766666666666666,0.2857142857142857,0,0,1,0.8189,High risk
CUST0039,61,Male,South,Premium,36,55,6.1,103.82,1899.91,10.1,0.22,5.1,0,1.3,0,1,0.40993333333333337,0.30233333333333334,0.09285714285714286,1,2,1,0.8033,High risk
CUST0040,69,Female,West,Basic,31,46,2.5,92.06,594.55,3.7,0.04,4.1,0,5.3,1,0,0.36713333333333337,0.12833333333333335,2.3785714285714286,0,3,0,0.3103,Low risk
CUST0041,20,Male,East,Basic,2,32,8.0,84.34,112.45,5.5,0.22,3.5,1,0.5,2,0,0.5036166666666667,0.20433333333333334,4.035714285714286,1,0,0,0.0846,Low risk
CUST0042,54,Male,North,Standard,16,55,1.1,87.91,128.93,8.4,0.69,1.0,3,1.6,1,1,0.30917500000000003,0.3603333333333333,2.1142857142857143,1,1,2,0.8878,High risk
CUST0043,68,Female,East,Basic,9,96,5.1,72.15,275.97,1.5,0.1,5.2,0,0.5,0,1,0.229375,0.12433333333333335,0.03571428571428571,0,0,0,0.9835,High risk
CUST0044,24,Female,North,Standard,9,5,7.8,76.04,444.83,1.8,0.5,5.4,1,1.2,1,0,0.5832,0.252,2.085714285714286,0,1,2,0.0079,Low risk
CUST0045,38,Female,South,Basic,38,36,1.8,58.56,333.79,0.0,0.25,2.6,0,1.7,0,1,0.3603,0.10966666666666666,0.12142857142857143,0,2,0,0.885,High risk
CUST0046,26,Female,North,Premium,11,110,5.7,76.24,398.35,16.5,0.28,3.1,3,1.9,0,1,0.1966166666666667,0.4003333333333334,0.1357142857142857,0,1,1,0.9627,High risk
CUST0047,56,Female,East,Standard,54,106,1.4,57.44,361.87,12.5,0.1,1.9,1,0.9,1,1,0.11903333333333335,0.26366666666666666,2.0642857142857145,0,0,2,0.9842,High risk
CUST0048,35,Male,East,Premium,56,49,1.4,105.17,687.11,7.2,0.31,5.7,0,0.5,0,0,0.3488083333333334,0.28900000000000003,0.03571428571428571,1,0,1,0.0791,Low risk
CUST0049,21,Female,East,Basic,22,106,0.5,24.02,22.02,0.4,0.2,3.3,3,2.1,2,1,0.07543333333333335,0.11066666666666666,4.15,0,0,0,0.9905,High risk
CUST0050,42,Male,South,Premium,33,58,2.3,89.43,565.64,3.0,0.26,3.7,1,1.3,1,1,0.3214416666666667,0.17733333333333334,2.092857142857143,1,2,1,0.9017,High risk
CUST0051,31,Male,South,Premium,36,39,5.2,85.1,1327.56,0.5,0.19,5.3,0,0.5,1,1,0.4319166666666666,0.136,2.0357142857142856,1,2,1,0.8997,High risk
CUST0052,67,Female,West,Standard,45,80,11.3,82.38,3490.85,0.1,0.12,4.7,1,5.5,0,1,0.3997333333333334,0.10033333333333333,0.39285714285714285,0,3,2,0.7359,Medium risk
CUST0053,26,Male,East,Standard,23,97,3.7,105.73,749.8,4.8,0.28,5.1,0,6.2,1,1,0.22952499999999998,0.23199999999999998,2.442857142857143,1,0,2,0.9241,High risk
CUST0054,43,Male,North,Premium,45,113,8.0,66.42,1992.6,16.2,0.33,4.3,0,3.9,0,0,0.21868333333333334,0.42633333333333334,0.2785714285714286,1,1,1,0.0812,Low risk
CUST0055,19,Male,South,Basic,45,85,6.9,82.66,2138.83,11.7,0.2,4.4,2,3.7,1,0,0.3063,0.31366666666666665,2.2642857142857142,1,2,0,0.2779,Low risk
CUST0056,37,Male,East,Standard,34,61,0.8,23.5,53.27,6.0,0.15,4.4,2,0.5,1,1,0.23025,0.2036666666666667,2.0357142857142856,1,0,2,0.906,High risk
CUST0057,45,Female,East,Basic,9,9,2.7,62.54,126.64,0.5,0.16,4.9,0,10.0,0,0,0.4693666666666667,0.12166666666666667,0.7142857142857143,0,0,0,0.663,Medium risk
CUST0058,64,Male,South,Basic,24,6,0.5,100.67,100.67,1.6,0.42,5.0,1,1.0,1,0,0.4726416666666666,0.21933333333333332,2.0714285714285716,1,2,0,0.0555,Low risk
CUST0059,24,Female,West,Basic,8,115,4.6,34.83,106.81,1.9,0.3,1.6,3,0.5,0,1,0.12619166666666665,0.143,0.03571428571428571,0,3,0,0.9725,High risk
CUST0060,61,Female,South,Basic,7,109,12.0,79.79,558.53,7.2,0.33,2.8,1,3.3,0,1,0.3131583333333333,0.25633333333333336,0.2357142857142857,0,2,0,0.9492,High risk
CUST0061,25,Male,South,Basic,36,35,0.6,54.67,98.41,8.1,0.37,3.6,1,0.5,1,1,0.33939166666666665,0.294,2.0357142857142856,1,2,0,0.7249,Medium risk
CUST0062,64,Female,North,Basic,18,39,5.3,71.67,569.78,2.4,0.05,4.9,2,1.5,0,1,0.42247500000000004,0.12033333333333335,0.10714285714285714,0,1,0,0.7268,Medium risk
CUST0063,52,Female,North,Premium,3,22,4.0,56.47,56.47,2.7,0.11,7.2,1,0.5,0,0,0.443725,0.17400000000000004,0.03571428571428571,0,1,1,0.0529,Low risk
CUST0064,31,Female,West,Standard,28,41,3.5,37.58,306.9,0.2,0.54,2.4,0,1.3,0,0,0.3559,0.19733333333333333,0.09285714285714286,0,3,2,0.1341,Low risk
CUST0065,34,Male,East,Premium,6,118,2.0,86.58,86.58,1.7,0.07,5.8,1,1.6,0,1,0.11381666666666668,0.12666666666666668,0.1142857142857143,1,0,1,0.9784,High risk
CUST0066,53,Female,South,Standard,44,5,1.8,73.51,485.17,3.0,0.19,2.9,0,1.2,2,1,0.47609166666666675,0.14566666666666667,4.085714285714285,0,2,2,0.9396,High risk
CUST0067,67,Female,West,Basic,44,42,0.5,93.38,171.2,0.6,0.45,6.7,2,0.5,0,0,0.34656666666666663,0.23433333333333334,0.03571428571428571,0,3,0,0.1618,Low risk
CUST0068,57,Female,North,Standard,21,87,1.0,98.83,172.95,3.0,0.22,7.8,2,1.3,1,1,0.2098583333333333,0.22000000000000003,2.092857142857143,0,1,2,0.9283,High risk
CUST0069,21,Male,South,Standard,28,81,0.5,111.76,130.39,9.6,0.16,1.0,1,1.3,0,1,0.23188333333333333,0.22133333333333335,0.09285714285714286,1,2,2,0.8985,High risk
CUST0070,19,Female,East,Basic,40,76,3.5,79.0,921.67,4.4,0.24,3.3,2,0.6,2,1,0.27375000000000005,0.18933333333333333,4.042857142857143,0,0,0,0.9786,High risk
CUST0071,23,Male,North,Standard,54,87,0.5,113.06,254.38,0.4,0.24,1.0,2,5.1,0,1,0.2129666666666667,0.092,0.36428571428571427,1,1,2,0.9871,High risk
CUST0072,59,Male,North,Basic,54,80,8.3,45.73,1708.02,1.1,0.17,1.0,0,1.1,0,0,0.3166916666666667,0.08266666666666667,0.07857142857142858,1,1,0,0.0534,Low risk
CUST0073,21,Male,North,Standard,1,67,3.0,102.27,25.57,3.2,0.02,1.0,2,4.0,0,1,0.3143916666666666,0.07266666666666667,0.2857142857142857,1,1,2,0.9292,High risk
CUST0074,46,Male,West,Standard,36,30,4.8,88.78,1278.43,2.2,0.11,5.2,3,0.5,1,1,0.45798333333333335,0.139,2.0357142857142856,1,3,2,0.9421,High risk
CUST0075,35,Male,East,Basic,21,57,2.1,81.99,301.31,2.2,0.24,4.9,0,0.8,1,1,0.315075,0.174,2.057142857142857,1,0,0,0.8785,High risk
CUST0076,43,Male,South,Basic,43,86,3.3,88.34,1044.62,3.8,0.18,5.6,5,0.5,0,1,0.2447,0.19199999999999998,0.03571428571428571,1,2,0,0.9488,High risk
CUST0077,61,Female,West,Premium,35,73,11.4,46.18,1535.48,4.4,0.41,5.2,2,1.0,0,0,0.39465000000000006,0.26566666666666666,0.07142857142857142,0,3,1,0.0353,Low risk
CUST0078,51,Male,West,Standard,13,29,0.5,39.1,21.18,8.0,0.23,5.0,1,0.5,1,1,0.3446666666666667,0.269,2.0357142857142856,1,3,2,0.8752,High risk
CUST0079,27,Female,West,Basic,57,111,1.2,126.29,719.85,2.1,0.4,4.2,1,1.2,0,1,0.15624166666666667,0.21100000000000002,0.08571428571428572,0,3,0,0.9394,High risk
CUST0080,53,Female,North,Premium,49,37,6.1,69.94,1742.09,8.2,0.13,3.7,0,0.9,0,0,0.44170000000000004,0.225,0.0642857142857143,0,1,1,0.0665,Low risk
CUST0081,31,Male,East,Basic,54,87,0.5,69.51,156.4,2.1,0.36,6.0,3,0.5,1,1,0.17667500000000003,0.22300000000000003,2.0357142857142856,1,0,0,0.9734,High risk
CUST0082,48,Female,West,Standard,54,13,0.5,41.93,94.34,0.3,0.11,4.0,1,2.1,0,1,0.4003583333333333,0.09133333333333334,0.15,0,3,2,0.8448,High risk
CUST0083,65,Female,South,Premium,10,32,1.8,30.55,45.82,4.0,0.22,5.1,1,6.0,0,1,0.3502916666666668,0.20066666666666666,0.42857142857142855,0,2,1,0.9184,High risk
CUST0084,32,Female,East,Basic,53,46,0.5,72.35,159.77,4.4,0.46,1.0,1,0.5,0,0,0.31570833333333337,0.22466666666666668,0.03571428571428571,0,0,0,0.0369,Low risk
CUST0085,25,Female,South,Basic,44,116,3.5,64.75,830.96,13.6,0.13,1.6,1,2.5,1,1,0.12854166666666667,0.287,2.1785714285714284,0,2,0,0.9852,High risk
CUST0086,31,Male,East,Basic,47,111,1.0,75.05,293.95,6.5,0.34,6.0,1,2.7,2,1,0.11004166666666665,0.29033333333333333,4.192857142857143,1,0,0,0.9719,High risk
CUST0087,40,Female,South,Basic,53,112,9.0,77.61,3085.0,12.5,0.3,2.7,1,1.4,0,0,0.24884166666666668,0.33433333333333337,0.09999999999999999,0,2,0,0.1111,Low risk
CUST0088,57,Male,North,Basic,10,23,6.1,149.68,760.87,11.9,0.14,1.2,1,4.6,0,1,0.5548166666666667,0.25633333333333336,0.32857142857142857,1,1,0,0.7218,Medium risk
CUST0089,38,Female,West,Standard,46,45,4.8,64.84,1193.06,4.6,0.41,5.3,2,6.8,0,0,0.3880333333333333,0.2703333333333333,0.4857142857142857,0,3,2,0.1573,Low risk
CUST0090,33,Female,South,Basic,13,17,3.8,122.4,503.88,3.8,0.27,4.0,2,0.9,0,0,0.5118333333333334,0.19766666666666666,0.0642857142857143,0,2,0,0.0263,Low risk
CUST0091,62,Male,East,Standard,37,119,8.0,124.26,3065.08,4.1,0.47,3.2,0,2.1,2,1,0.24688333333333332,0.252,4.15,1,0,2,0.9588,High risk
CUST0092,35,Female,West,Premium,38,104,1.0,97.61,309.1,19.2,0.21,7.0,1,2.2,0,1,0.15217499999999998,0.47633333333333333,0.15714285714285717,0,3,1,0.905,High risk
CUST0093,64,Female,West,Premium,24,85,8.3,67.95,1127.97,7.4,0.6,6.7,1,1.0,0,1,0.3185416666666666,0.39266666666666666,0.07142857142857142,0,3,1,0.7878,High risk
CUST0094,41,Female,East,Standard,2,66,6.2,34.16,35.3,0.6,0.62,3.6,1,0.8,0,0,0.3169666666666666,0.24400000000000002,0.05714285714285715,0,0,2,0.1234,Low risk
CUST0095,43,Male,South,Basic,22,101,5.5,89.34,900.84,7.5,0.2,5.4,2,5.4,1,1,0.23403333333333337,0.257,2.3857142857142857,1,2,0,0.9762,High risk
CUST0096,42,Female,North,Standard,17,6,3.3,105.56,493.49,0.9,0.6,1.0,0,3.1,0,0,0.5257166666666666,0.20833333333333334,0.22142857142857145,0,1,2,0.04,Low risk
CUST0097,62,Male,North,Standard,36,108,1.1,127.43,420.52,3.0,0.15,6.2,1,0.5,0,1,0.16544166666666665,0.17766666666666667,0.03571428571428571,1,1,2,0.9823,High risk
CUST0098,58,Female,South,Standard,14,18,2.2,46.5,119.35,1.2,0.06,1.8,1,0.5,2,0,0.41725,0.062,4.035714285714286,0,2,2,0.7525,High risk
CUST0099,46,Male,West,Basic,10,94,6.3,67.69,355.37,5.8,0.42,1.1,1,5.1,1,1,0.25332499999999997,0.23733333333333334,2.3642857142857143,1,3,0,0.9846,High risk
CUST0100,32,Male,West,Premium,35,22,0.5,46.68,68.08,10.5,0.1,1.0,0,0.5,0,0,0.37431666666666663,0.21833333333333332,0.03571428571428571,1,3,1,0.07,Low risk
CUST0101,62,Female,West,Standard,25,118,6.1,56.0,711.67,1.7,0.29,1.0,0,2.3,0,1,0.16008333333333336,0.12866666666666665,0.16428571428571428,0,3,2,0.9904,High risk
CUST0102,18,Female,West,Basic,3,33,1.1,94.93,26.11,0.4,0.26,6.2,2,0.5,0,1,0.3883583333333333,0.16733333333333333,0.03571428571428571,0,3,0,0.8702,High risk
CUST0103,42,Male,South,Basic,47,30,0.6,54.62,128.36,1.8,0.28,5.3,1,0.5,1,0,0.3560166666666667,0.18466666666666667,2.0357142857142856,1,2,0,0.3513,Low risk
CUST0104,24,Male,West,Standard,38,81,0.5,50.27,79.59,5.6,0.29,2.5,1,0.5,0,0,0.18064166666666664,0.21366666666666664,0.03571428571428571,1,3,2,0.3823,Low risk
CUST0105,26,Female,East,Premium,17,107,0.5,98.91,70.06,2.0,0.14,5.7,0,0.9,0,1,0.1345083333333333,0.15133333333333335,0.0642857142857143,0,0,1,0.9666,High risk
CUST0106,41,Male,West,Standard,12,32,3.0,88.52,265.56,1.6,0.24,2.8,3,0.5,0,1,0.41960000000000003,0.136,0.03571428571428571,1,3,2,0.7658,High risk
CUST0107,18,Female,North,Premium,54,42,1.0,85.5,384.75,1.0,0.19,4.6,0,1.8,1,0,0.34875,0.13499999999999998,2.1285714285714286,0,1,1,0.2179,Low risk
CUST0108,61,Female,West,Basic,52,115,18.2,55.41,4370.0,3.4,0.27,3.0,1,2.1,0,0,0.3813416666666666,0.17766666666666667,0.15,0,3,0,0.0609,Low risk
CUST0109,25,Female,South,Standard,24,78,3.4,113.79,773.77,1.6,0.22,3.8,1,0.9,0,0,0.294325,0.14333333333333334,0.0642857142857143,0,2,2,0.3714,Low risk
CUST0110,41,Female,North,Standard,29,10,0.6,75.43,109.37,6.6,0.44,2.2,1,2.7,0,0,0.44002500000000005,0.2713333333333333,0.19285714285714287,0,1,2,0.0414,Low risk
CUST0111,28,Male,South,Basic,43,111,4.7,146.41,2465.79,0.4,0.23,2.5,2,1.3,0,1,0.23425833333333332,0.10900000000000001,0.09285714285714286,1,2,0,0.953,High risk
CUST0112,68,Female,South,Basic,25,115,9.1,79.83,1513.44,5.5,0.19,5.1,1,1.1,0,0,0.24244166666666664,0.21666666666666667,0.07857142857142858,0,2,0,0.209,Low risk
CUST0113,34,Male,North,Premium,36,36,5.5,10.0,165.0,1.4,0.27,5.4,0,1.0,1,0,0.38458333333333333,0.17633333333333334,2.0714285714285716,1,1,1,0.625,Medium risk
CUST0114,25,Female,South,Basic,58,34,0.5,10.0,24.17,3.4,0.11,3.2,2,1.1,0,0,0.30375,0.13233333333333336,0.07857142857142858,0,2,0,0.098,Low risk
CUST0115,52,Male,South,Standard,26,73,9.0,93.72,1827.54,1.7,0.26,1.0,0,6.9,0,0,0.3922666666666667,0.11966666666666667,0.4928571428571429,1,2,2,0.1381,Low risk
CUST0116,52,Female,West,Basic,38,106,6.3,114.01,2274.5,6.4,0.02,8.9,3,2.3,0,1,0.251925,0.23133333333333336,0.16428571428571428,0,3,0,0.9629,High risk
CUST0117,50,Male,East,Basic,1,28,0.7,51.49,3.0,14.5,0.35,4.1,1,0.8,0,0,0.36182499999999995,0.4013333333333333,0.05714285714285715,1,0,0,0.0358,Low risk
CUST0118,22,Male,South,Basic,20,11,0.5,138.03,115.02,12.4,0.36,4.6,1,2.6,2,1,0.4871083333333333,0.376,4.185714285714286,1,2,0,0.6717,Medium risk
CUST0119,59,Female,South,Premium,55,78,3.3,124.89,1888.96,4.4,0.21,1.5,1,0.8,0,0,0.301825,0.15633333333333332,0.05714285714285715,0,2,1,0.1127,Low risk
CUST0120,56,Female,South,Premium,28,39,0.7,81.32,132.82,3.1,0.02,6.4,2,0.5,0,1,0.35001666666666664,0.14300000000000002,0.03571428571428571,0,2,1,0.8173,High risk
CUST0121,58,Female,West,Premium,16,119,7.2,91.18,875.33,8.5,0.2,6.7,2,1.3,0,1,0.20531666666666665,0.291,0.09285714285714286,0,3,1,0.9696,High risk
CUST0122,45,Female,East,Standard,47,47,1.8,101.84,717.97,5.7,0.5,1.0,2,2.8,0,0,0.3597,0.2583333333333333,0.19999999999999998,0,0,2,0.2215,Low risk
CUST0123,24,Male,North,Basic,17,118,9.8,131.7,1828.44,1.0,0.1,3.8,0,0.9,1,1,0.2879166666666667,0.09733333333333333,2.0642857142857145,1,1,0,0.9522,High risk
CUST0124,26,Female,West,Standard,40,19,3.3,95.46,1050.06,8.6,0.0,3.6,1,4.1,0,0,0.47396666666666665,0.19133333333333336,0.2928571428571428,0,3,2,0.1751,Low risk
CUST0125,25,Male,West,Standard,28,118,0.8,80.64,150.53,2.8,0.37,8.8,2,1.0,3,1,0.08786666666666668,0.275,6.071428571428571,1,3,2,0.9817,High risk
CUST0126,29,Male,East,Premium,58,15,0.6,95.17,275.99,1.0,0.68,6.9,0,0.9,0,0,0.43980833333333336,0.3126666666666667,0.0642857142857143,1,0,1,0.0179,Low risk
CUST0127,51,Female,East,Basic,12,28,3.4,91.12,309.81,1.7,0.21,1.1,3,12.7,1,1,0.4421,0.10600000000000001,2.907142857142857,0,0,0,0.8767,High risk
CUST0128,50,Male,West,Standard,27,24,5.7,102.73,1317.51,1.6,0.28,2.5,3,1.3,0,0,0.5053583333333334,0.14400000000000002,0.09285714285714286,1,3,2,0.0388,Low risk
CUST0129,65,Male,North,Basic,54,72,6.1,27.9,765.85,3.7,0.26,2.2,0,3.3,1,1,0.29000000000000004,0.16899999999999998,2.2357142857142858,1,1,0,0.9333,High risk
CUST0130,40,Male,West,Basic,53,107,1.3,84.48,485.06,1.3,0.15,4.7,3,3.3,3,1,0.13648333333333332,0.12933333333333336,6.235714285714286,1,3,0,0.9927,High risk
CUST0131,41,Male,East,Standard,42,9,0.9,88.81,279.75,0.7,0.35,7.1,1,5.2,1,1,0.4597583333333334,0.21133333333333335,2.3714285714285714,1,0,2,0.8715,High risk
CUST0132,54,Female,North,Standard,59,47,0.5,72.81,178.99,0.7,0.12,4.2,0,0.5,1,1,0.31275833333333336,0.10366666666666667,2.0357142857142856,0,1,2,0.8985,High risk
CUST0133,52,Female,East,Basic,47,33,4.5,98.52,1736.41,4.4,0.21,5.0,0,0.6,0,0,0.45085,0.203,0.04285714285714286,0,0,0,0.1177,Low risk
CUST0134,61,Female,North,Basic,30,62,0.5,132.64,165.8,6.6,0.17,2.7,2,2.9,1,1,0.31261666666666665,0.197,2.2071428571428573,0,1,0,0.9801,High risk
CUST0135,57,Female,South,Standard,41,97,2.2,79.15,594.94,1.9,0.61,5.0,1,1.7,0,1,0.181125,0.2813333333333333,0.12142857142857143,0,2,2,0.979,High risk
CUST0136,39,Male,East,Premium,34,19,3.7,95.75,1003.78,0.2,0.14,3.1,1,1.6,0,1,0.4812083333333333,0.08666666666666667,0.1142857142857143,1,0,1,0.84,High risk
CUST0137,44,Male,East,Premium,37,67,11.1,123.19,4216.18,0.7,0.3,1.0,2,0.5,0,1,0.473575,0.11499999999999999,0.03571428571428571,1,0,1,0.141,Low risk
CUST0138,52,Female,West,Premium,6,74,1.5,79.85,59.89,12.3,0.55,4.9,1,0.7,1,1,0.24612499999999998,0.43533333333333335,2.05,0,3,1,0.8366,High risk
CUST0139,18,Female,East,Premium,7,40,1.1,48.35,31.02,3.4,0.16,4.0,0,1.5,1,1,0.3262083333333334,0.158,2.107142857142857,0,0,1,0.6544,Medium risk
CUST0140,52,Female,East,Basic,32,47,4.2,93.47,1046.86,3.0,0.55,1.8,1,0.6,0,0,0.394725,0.23900000000000002,0.04285714285714286,0,0,0,0.1684,Low risk
CUST0141,54,Male,South,Standard,32,106,3.9,10.0,104.0,0.2,0.45,7.3,2,0.5,0,1,0.12325,0.23566666666666666,0.03571428571428571,1,2,2,0.9507,High risk
CUST0142,64,Female,East,Standard,53,65,1.6,10.0,70.67,6.5,0.21,2.5,1,0.5,1,1,0.21966666666666668,0.20466666666666666,2.0357142857142856,0,0,2,0.9449,High risk
CUST0143,31,Female,South,Basic,25,29,10.5,84.99,1859.16,3.8,0.08,5.2,0,0.5,1,0,0.5579083333333333,0.15666666666666668,2.0357142857142856,0,2,0,0.0735,Low risk
